iter	Passed	Remaining
865	2360	365
866	2362	362
867	2363	359
868	2365	356
869	2367	353
870	2369	350
871	2371	348
872	2375	345
873	2377	342
874	2378	339
875	2380	336
876	2382	334
877	2383	331
878	2385	328
879	2388	325
880	2391	323
881	2393	320
882	2395	317
883	2397	314
884	2399	311
885	2401	308
886	2405	306
887	2407	303
888	2409	300
889	2412	298
890	2414	295
891	2416	292
892	2421	290
893	2423	287
894	2425	284
895	2427	281
896	2429	279
897	2434	276
898	2438	273
899	2440	271
900	2442	268
901	2443	265
902	2445	262
903	2447	259
904	2451	257
905	2453	254
906	2455	251
907	2456	248
908	2458	246
909	2460	243
910	2462	240
911	2465	237
912	2467	235
913	2469	232
914	2471	229
915	2472	226
916	2474	223
917	2476	221
918	2479	218
919	2482	215
920	2484	213
921	2486	210
922	2488	207
923	2490	204
924	2491	202
925	2495	199
926	2497	196
927	2499	193
928	2500	191
929	2502	188
930	2504	185
931	2506	182
932	2508	180
933	2511	177
934	2513	174
935	2514	171
936	2516	169
937	2518	166
938	2520	163
939	2521	160
940	2525	158
941	2527	155
942	2529	152
943	2531	150
944	2532	147
945	2534	144
946	2536	141
947	2537	139
948	2539	136
949	2541	133
950	2543	131
951	2545	128
952	2547	125
953	2548	122
954	2550	120
955	2554	117
956	2555	114
957	2557	112
958	2559	109
959	2561	106
960	2563	104
961	2567	101
962	2570	98
963	2572	96
964	2573	93
965	2576	90
966	2578	87
967	2580	85
968	2583	82
969	2585	79
970	2587	77
971	2589	74
972	2590	71
973	2592	69
974	2594	66
975	2598	63
976	2600	61
977	2602	58
978	2604	55
979	2606	53
980	2608	50
981	2610	47
982	2613	45
983	2615	42
984	2617	39
985	2619	37
986	2621	34
987	2623	31
988	2625	29
989	2628	26
990	2630	23
991	2632	21
992	2633	18
993	2635	15
994	2637	13
995	2639	10
996	2643	7
997	2645	5
998	2647	2
999	2649	0
